unobserved_strength,seed,generator,iteration,selection_severity,frontier_severity,passed,naive_declined_ece,reweight_declined_ece,retrain_declined_ece,naive_declined_empc,naive_declined_emp_h,reweight_declined_empc,reweight_declined_emp_h,exploration_cost
0.0,1032,scm,1,0.2,0.4,True,0.03660946020712984,0.03052398908636747,0.026013777917083782,0.027355453097400652,0.03674474786819313,0.027146232852347907,0.03617957701190019,0.0
0.0,1032,scm,2,0.4,0.4,True,0.06756263141704703,0.06083045160679827,0.09470629198243943,0.04643715308627569,0.02334601002440851,0.04507805306526187,0.02120095234870387,0.0
0.0,1032,scm,3,0.6,0.4,False,0.23630692191386807,0.19641637529916017,0.27385917654052083,0.05781351583356868,0.00774953220352306,0.05628110995668325,0.005611032547071845,0.0
0.0,1048,scm,0,0.0,0.4,True,0.02536677974714431,0.025350081266373822,0.03692949090474371,0.020992159008291086,0.04019769973065283,0.019751801575167142,0.04133556523023316,0.0
0.0,1048,scm,1,0.2,0.4,True,0.039276453847173314,0.050318083890636287,0.03341177678314686,0.030460319458862087,0.03263148513481928,0.030712018020263066,0.03398806578177158,0.0
0.0,1048,scm,2,0.4,0.4,True,0.09266587439619253,0.0857391818328716,0.09146385741474242,0.04400816576394871,0.017647162402362807,0.042006382455610884,0.01815433070258269,0.0
0.0,1048,scm,3,0.6,0.4,False,0.26911883325886454,0.26466065758123786,0.19566733833128644,0.04955485734954773,0.0015545585162358947,0.04807946755107833,0.0020312768516360714,0.0
0.0,1064,scm,0,0.0,0.2,True,0.018687201036737617,0.018217311508348762,0.016966073386987097,0.017994393767510757,0.04202318200810399,0.020064239340376253,0.04174426434662767,0.0
0.0,1064,scm,1,0.2,0.2,True,0.05273984169849079,0.054384022907493106,0.051318502060178434,0.030159052548607377,0.0264334370969401,0.030064106667333272,0.025061824400476034,0.0
0.0,1064,scm,2,0.4,0.2,False,0.1225958041362174,0.1154099996781085,0.12397979173448226,0.044913120407332946,0.014893902413518085,0.042276430593766415,0.01767561155421723,0.0
0.0,1080,scm,0,0.0,0.4,True,0.024943588555409995,0.03223885057514014,0.030248972950056064,0.016638865847715602,0.04206461030375096,0.016880980840485553,0.04153944849747523,0.0
0.0,1080,scm,1,0.2,0.4,True,0.0737851732065807,0.07656583799985577,0.05774994780488196,0.029854215497344072,0.026317604692549065,0.0296437454706778,0.025047703830560125,0.0
0.0,1080,scm,2,0.4,0.4,True,0.09591561923885712,0.08761585113308407,0.1011402481577599,0.041844977928143706,0.019796357056905873,0.043780710014496425,0.020843118195295312,0.0
0.0,1080,scm,3,0.6,0.4,False,0.2607844912955183,0.25423959842426375,0.24190532230009446,0.05135968637333263,0.006173383780534823,0.05059524196292345,0.005504130470878731,0.0
0.0,1096,scm,0,0.0,0.4,True,0.023564913651841508,0.02019561297015347,0.019408038033231764,0.021609804653891083,0.04430487427529209,0.02016479647114467,0.04377248770674166,0.0
0.0,1096,scm,1,0.2,0.4,True,0.028153804513273296,0.025947287992989006,0.035869689903130185,0.027997824714140567,0.032469731155957485,0.02791893398865855,0.032878769742895525,0.0
0.0,1096,scm,2,0.4,0.4,True,0.10342785192421917,0.08707185939368935,0.1330956144319266,0.04465041213355152,0.020377558646050647,0.042453372052608754,0.01992327927028198,0.0
0.0,1096,scm,3,0.6,0.4,False,0.24718951593681035,0.24647688813784016,0.2314835197274342,0.051348786381215206,0.0029963910371142606,0.05106399105828603,0.0041141126879345544,0.0
0.0,1112,scm,0,0.0,0.2,True,0.020602314896975015,0.01339345005209632,0.027982191061444,0.018717539139370482,0.043335277195329244,0.01863955419613105,0.042678994017130316,0.0
0.0,1112,scm,1,0.2,0.2,True,0.02886645292436885,0.027408549248281063,0.04402055342826176,0.02569654356413028,0.02880891360759035,0.024981049173452376,0.02986223651903849,0.0
0.0,1112,scm,2,0.4,0.2,False,0.13372728950698354,0.12774332678289518,0.11367710879820009,0.043171032941166004,0.01646905160461617,0.04209537559722301,0.017296076897737114,0.0
0.0,1128,scm,0,0.0,0.4,True,0.03962235272440683,0.04480849642192227,0.023283357350940823,0.014498401669935537,0.04141476165471779,0.013310030519088712,0.04029502769601692,0.0
0.0,1128,scm,1,0.2,0.4,True,0.024869748891841036,0.04035094248754997,0.03714629576357781,0.028414350617689467,0.033573363603015036,0.028925201519228835,0.034310925278559966,0.0
0.0,1128,scm,2,0.4,0.4,True,0.0962400109539388,0.09040268259833063,0.12875488464618262,0.04284990443990777,0.017026577177034093,0.04368401065662743,0.01604478902034044,0.0
0.0,1128,scm,3,0.6,0.4,False,0.24478370387766918,0.20048189757514182,0.23091033408487785,0.046920444282447786,0.005258919278101793,0.04716795480220576,0.003816159096570262,0.0
0.0,1144,scm,0,0.0,0.4,True,0.027105878894394454,0.04445829903236669,0.014398135719359096,0.017490568168031836,0.043768315824562413,0.017230170330476777,0.04193825643301591,0.0
0.0,1144,scm,1,0.2,0.4,True,0.041855878734121416,0.045041027794758125,0.0456319899534448,0.02329024395271382,0.03626316073462995,0.028768188913971225,0.03606118253464049,0.0
0.0,1144,scm,2,0.4,0.4,True,0.0850952930033147,0.06886066176821723,0.12519649484201065,0.04706496741084713,0.021202972654436207,0.045632725786553446,0.02058886306540657,0.0
0.0,1144,scm,3,0.6,0.4,False,0.2554744129407209,0.2274306097191952,0.2153752257031713,0.05124445967848111,0.005538178678949746,0.049795059284332324,0.005129281556597206,0.0
0.0,1160,scm,0,0.0,0.2,True,0.027812458102742986,0.02750614155206701,0.03710848163390884,0.02079648426817368,0.03723814857299813,0.022328448180471222,0.038051415815978526,0.0
0.0,1160,scm,1,0.2,0.2,True,0.031633108343698105,0.02962581653951943,0.04452233820657186,0.03324549538521595,0.035392839358342296,0.032656825690559665,0.034594290279660524,0.0
0.0,1160,scm,2,0.4,0.2,False,0.13366119147160477,0.11284474063483542,0.10702364033359701,0.04325347427710841,0.015047429147151866,0.04292660344394184,0.013237472304990918,0.0
0.0,1176,scm,0,0.0,0.2,True,0.04368317870862235,0.061324768463967935,0.016800772949131022,0.020102986954484592,0.03802204132185092,0.020751518699439808,0.03674763950936808,0.0
0.0,1176,scm,1,0.2,0.2,True,0.04808597564706252,0.04210112378354335,0.03225369264202418,0.026880403947544942,0.035580505741740244,0.027031016904893092,0.03475027391235528,0.0
0.0,1176,scm,2,0.4,0.2,False,0.12882644219686973,0.11969175412186811,0.14537897844730424,0.04296917717473456,0.017916621025201484,0.04148272842615959,0.015214524953154934,0.0
0.0,1192,scm,0,0.0,0.4,True,0.020578841813727194,0.01973111780278883,0.03812530234883309,0.021270819696697082,0.041850799476792946,0.021912799369233807,0.04091430635004725,0.0
0.0,1192,scm,1,0.2,0.4,True,0.055272818552830096,0.05309747280072332,0.05613125196378906,0.03307524120920628,0.03198356298547821,0.03403853257778477,0.03153681038989911,0.0
0.0,1192,scm,2,0.4,0.4,True,0.09721216779739648,0.09567949108378576,0.09508856704745153,0.03740038721114814,0.012501745452300676,0.03508553615578263,0.01287793872047207,0.0
