unobserved_strength,seed,severity,naive_mae,gcomp_mae,naive_bias,gcomp_bias,naive_strong,gcomp_strong,strong_gap,overall_gap
0.0,1368,0.8,0.10530638200445187,0.10478615173348146,-0.02620773607084313,-0.02678217324836596,0.11888448181275338,0.1161914035997404,0.0026930782130129838,0.0005202302709704093
0.0,1384,0.8,0.08293539482817723,0.08113961991639067,-0.022605899770498757,-0.02112539601904611,0.09882489927685066,0.09492403381003064,0.0039008654668200166,0.001795774911786563
0.0,1000,1.0,0.09965557629456401,0.09912181180826972,-0.02822614792250618,-0.029046293086903516,0.1144781035412343,0.11104828742198579,0.003429816119248516,0.0005337644862942886
0.0,1016,1.0,0.1002781881339645,0.09988284264721958,-0.03615009173036889,-0.036294042544710366,0.10387418462185023,0.10265435406527935,0.0012198305565708778,0.00039534548674491354
0.0,1032,1.0,0.09796410985615861,0.097264380061277,-0.01730275363536712,-0.017679157773133537,0.10007962395046409,0.09348103614745987,0.006598587803004222,0.000699729794881615
0.0,1048,1.0,0.10231768580525402,0.10170226258047664,-0.029262993869133072,-0.029836838023731705,0.06938825752822829,0.06829983934413957,0.0010884181840887241,0.0006154232247773811
0.0,1064,1.0,0.09347141463867988,0.09304986244917608,-0.02895799978017961,-0.02976579839876753,0.09020426062730819,0.08622543857867246,0.003978822048635727,0.00042155218950379325
0.0,1080,1.0,0.09554429545696114,0.0942627789031343,-0.017768945729818384,-0.020386778289539942,0.12874050497362463,0.11341591380557414,0.015324591168050489,0.001281516553826842
0.0,1096,1.0,0.09667486809770916,0.09618459358819921,-0.04382851067559138,-0.04403460533348605,0.09586443209344561,0.09329148372746385,0.0025729483659817642,0.000490274509509947
0.0,1112,1.0,0.08589404233227678,0.08570405244423344,-0.027808783048299483,-0.028070830111284226,0.11617693901339092,0.11534033618720492,0.0008366028261860003,0.00018998988804333483
0.0,1128,1.0,0.08095840152813079,0.08008472696166863,-0.02645359487192803,-0.027725209687833936,0.0974557101052469,0.09372015761142594,0.0037355524938209594,0.0008736745664621598
0.0,1144,1.0,0.09019692764031559,0.09020203859096833,-0.02896701077909804,-0.02920934420074701,0.08734720936630667,0.0861210870369557,0.0012261223293509732,-5.110950652739699e-06
0.0,1160,1.0,0.08631532525317852,0.08617733503889313,-0.030074448282721326,-0.03064852753195494,0.10080056442502508,0.09964161348056062,0.001158950944464457,0.0001379902142853856
0.0,1176,1.0,0.10866875679355567,0.10694031853789915,-0.02081940102795997,-0.02277603600251327,0.12684575584897811,0.11889060598635012,0.007955149862627992,0.0017284382556565225
0.0,1192,1.0,0.09973843420262878,0.09774594049975951,-0.029569187857653997,-0.031052662731613095,0.11174776700865925,0.10182605135752094,0.009921715651138308,0.0019924937028692608
0.0,1208,1.0,0.09520362655132651,0.09496795016011574,-0.03116547924593243,-0.031438450107820426,0.09901197365020731,0.09744002584519532,0.0015719478050119917,0.00023567639121077621
0.0,1224,1.0,0.08110641410661054,0.07993776553174589,-0.014302442888654779,-0.015337433902456043,0.09899424293333729,0.0950227003287052,0.003971542604632089,0.0011686485748646502
0.0,1240,1.0,0.08342245017416931,0.0825522030901248,-0.0196156817473756,-0.020159879717736126,0.1350022891557516,0.13071897679329259,0.004283312362459019,0.000870247084044512
0.0,1256,1.0,0.09208664049935773,0.09134925763235073,-0.028985039235489785,-0.02955203383187287,0.08569506622188182,0.08379393643545908,0.001901129786422734,0.0007373828670070026
0.0,1272,1.0,0.0938310665669086,0.09391832284924634,-0.020071394443345728,-0.020154727776679066,0.14170457542401763,0.14143574059893319,0.0002688348250844408,-8.72562823377443e-05
0.0,1288,1.0,0.0930315012046473,0.09301242644901281,-0.022809124630766685,-0.023440019901419893,0.115934485042498,0.1128497815814885,0.0030847034610094887,1.9074755634493346e-05
0.0,1304,1.0,0.09432822347947027,0.09463465558322254,-0.02936778843442191,-0.030431818999214558,0.12150311487841862,0.1201842117169462,0.001318903161472429,-0.00030643210375226604
0.0,1320,1.0,0.09494783570174166,0.0944734938124563,-0.029886327325845206,-0.030382148408740667,0.10579003457274311,0.10538779062296205,0.00040224394978105593,0.0004743418892853568
0.0,1336,1.0,0.09686443075862664,0.09680508674685873,-0.038030873908033065,-0.03846757086359665,0.11973250766711241,0.1167443228195484,0.00298818484756401,5.934401176790893e-05
0.0,1352,1.0,0.09503627795325294,0.09485893938271084,-0.025016156690149362,-0.024973405774007477,0.11372171809984662,0.1140613141302649,-0.0003395960304182766,0.00017733857054209878
