seed,selection_severity,exploration_rate,arm,generation,policy,funded_rate,funded_default_rate,book_profit,explored_profit,declined_ece,declined_mean_pd,declined_base_rate,all_ece,declined_empc,declined_emp_h,diag_propensity_auc,diag_ess_ratio,diag_below_floor,diag_flagged,n_explored,explored_defaults
1368,0.2,0.05,frozen,6,model,0.6212,0.0559,0.0342699417,-0.0028424265,0.0367,0.3853,0.3512,0.0169,0.0489,0.0054,0.9943,0.9424,0.4056,True,85,34
1368,0.2,0.05,frozen,7,model,0.619,0.0497,0.0372341477,-0.0017896391,0.0372,0.383,0.3484,0.0166,0.0455,0.0081,0.9951,0.9335,0.43,True,76,26
1368,0.2,0.05,frozen,8,model,0.6188,0.059,0.0350054225,-0.0019158612,0.0407,0.4018,0.3633,0.025,0.0479,0.0007,0.9946,0.9246,0.4325,True,75,28
1368,0.2,0.05,frozen,9,model,0.62,0.0609,0.0347304503,-0.0027645082,0.0492,0.3922,0.3441,0.025,0.0456,0.0065,0.9951,0.9123,0.425,True,80,36
1368,0.2,0.05,frozen,10,model,0.6205,0.0552,0.0356900807,-0.0025598619,0.033,0.3753,0.3472,0.0151,0.0442,0.0054,0.9955,0.9015,0.4487,True,82,35
1368,0.2,0.05,frozen,11,model,0.6218,0.0515,0.037913017,-0.0011618481,0.0359,0.3768,0.3457,0.0182,0.0424,0.0002,0.995,0.9323,0.4313,True,87,25
1368,0.2,0.05,prior,0,prior,0.6195,0.1489,0.0053451245,-0.0004666016,0.0438,0.2221,0.224,0.0572,0.0272,0.0326,0.7796,0.977,0.0,False,78,19
1368,0.2,0.05,prior,1,model,0.624,0.1386,0.0082465329,-0.0008260935,0.0519,0.2555,0.2114,0.0491,0.0249,0.0306,0.7969,0.9738,0.0,False,96,22
1368,0.2,0.05,prior,2,model,0.6168,0.1285,0.0112046734,-0.0002697345,0.0357,0.1842,0.2146,0.0129,0.0273,0.0327,0.7897,0.9776,0.0,False,67,13
1368,0.2,0.05,prior,3,model,0.6185,0.1318,0.0097797168,-0.0014249738,0.0709,0.1551,0.2254,0.0383,0.0225,0.028,0.7796,0.975,0.0,False,74,22
1368,0.2,0.05,prior,4,model,0.6158,0.1389,0.0065096601,-0.0007193674,0.0733,0.2531,0.2147,0.0437,0.0289,0.0343,0.8,0.9719,0.0,False,63,15
1368,0.2,0.05,prior,5,model,0.6218,0.1295,0.0104032403,-0.0007711556,0.0392,0.2601,0.2234,0.067,0.0263,0.0255,0.792,0.9742,0.0,False,87,19
1368,0.2,0.05,prior,6,model,0.622,0.1399,0.0070212899,-0.0008851954,0.0335,0.2234,0.2136,0.0189,0.0279,0.0322,0.7985,0.977,0.0,False,88,22
1368,0.2,0.05,prior,7,model,0.6195,0.1344,0.0088830832,-0.0003817419,0.0284,0.2153,0.2109,0.0245,0.0286,0.0339,0.7893,0.976,0.0,False,78,16
1368,0.2,0.05,prior,8,model,0.6192,0.1478,0.0065049013,-0.0007492768,0.0346,0.2159,0.2193,0.0296,0.0236,0.0265,0.8018,0.9783,0.0,False,77,20
1368,0.2,0.05,prior,9,model,0.6198,0.1404,0.0086288579,-0.0020743303,0.0785,0.2901,0.2143,0.0731,0.0268,0.0347,0.7923,0.976,0.0,False,79,27
1368,0.2,0.05,prior,10,model,0.6192,0.1429,0.009629135,0.0002235481,0.0454,0.1691,0.2035,0.0273,0.0236,0.0355,0.8116,0.9788,0.0,False,77,13
1368,0.2,0.05,prior,11,model,0.6208,0.1345,0.0090233357,-7.10479e-05,0.0635,0.2088,0.209,0.0518,0.0232,0.0322,0.778,0.9697,0.0,False,83,16
1368,0.4,0.0,treatment,0,prior,0.6,0.0925,0.0229281442,0.0,0.0945,0.2239,0.305,0.0369,0.0457,0.0214,0.8377,0.8954,0.0013,False,0,0
1368,0.4,0.0,treatment,1,model,0.6,0.0458,0.0368870756,0.0,0.1826,0.1638,0.3463,0.0696,0.0396,0.0039,0.995,0.9327,0.3981,True,0,0
1368,0.4,0.0,treatment,2,model,0.6,0.0592,0.0329850083,0.0,0.1058,0.2221,0.315,0.0382,0.0413,0.01,0.9911,0.8872,0.3031,True,0,0
1368,0.4,0.0,treatment,3,model,0.6,0.0575,0.033199418,0.0,0.1678,0.2037,0.3325,0.0568,0.0414,0.0082,0.9803,0.9225,0.2531,True,0,0
1368,0.4,0.0,treatment,4,model,0.6,0.05,0.0343291974,0.0,0.1275,0.2175,0.345,0.0501,0.0472,0.0071,0.9923,0.8918,0.31,True,0,0
1368,0.4,0.0,treatment,5,model,0.6,0.0446,0.0370241558,0.0,0.2321,0.1136,0.3456,0.0919,0.0409,0.0035,0.9865,0.9101,0.3425,True,0,0
1368,0.4,0.0,treatment,6,model,0.6,0.0721,0.028919045,0.0,0.0734,0.2514,0.3113,0.027,0.0404,0.0093,0.9746,0.8458,0.1206,True,0,0
1368,0.4,0.0,treatment,7,model,0.6,0.0458,0.0383519267,0.0,0.1574,0.1827,0.34,0.0607,0.0447,0.005,0.9889,0.9173,0.2869,True,0,0
1368,0.4,0.0,treatment,8,model,0.6,0.0617,0.0331670183,0.0,0.129,0.2166,0.345,0.0513,0.0459,0.0079,0.9767,0.8649,0.2519,True,0,0
1368,0.4,0.0,treatment,9,model,0.6,0.0546,0.0350310309,0.0,0.1674,0.172,0.3394,0.0682,0.04,0.0048,0.9865,0.9169,0.3319,True,0,0
1368,0.4,0.0,treatment,10,model,0.6,0.0579,0.0338660255,0.0,0.1035,0.2253,0.3281,0.0399,0.0386,0.0041,0.9793,0.8519,0.2662,True,0,0
