seed,generator,iteration,selection_severity,frontier_severity,passed,naive_declined_ece,reweight_declined_ece,retrain_declined_ece,naive_declined_empc,naive_declined_emp_h,reweight_declined_empc,reweight_declined_emp_h,exploration_cost
41,scm,2,0.4,0.2,False,0.14446922306483906,0.11753914226042182,0.1314577649885046,0.047483135281424386,0.012351343864304648,0.04611376574863216,0.014012231284188693,0.0
43,scm,0,0.0,0.2,True,0.02871286941417589,0.02373113566733612,0.03530819735484614,0.022902504789522576,0.037274602893765205,0.022585398482846505,0.03590326216256889,0.0
43,scm,1,0.2,0.2,True,0.039060168408246936,0.04613374236171257,0.0431969943641341,0.0288459034766728,0.031149490623868552,0.028749841310978345,0.030655133323018977,0.0
43,scm,2,0.4,0.2,False,0.12014624532625612,0.11164607984599377,0.10643995470216114,0.042228169584415,0.02121128680530903,0.04182767644722797,0.01775759213755619,0.0
47,scm,0,0.0,0.2,True,0.022655742761632666,0.021356290969163146,0.01416800005799348,0.01772169305621799,0.04254358926996716,0.017989146881966383,0.041931339673531236,0.0
47,scm,1,0.2,0.2,True,0.06536409846028873,0.06203854602094201,0.045497665814106004,0.030545141937899666,0.02887344358393949,0.030148637867503464,0.028127320265126255,0.0
47,scm,2,0.4,0.2,False,0.11264520170845772,0.10386983611590336,0.13323894624710636,0.04054041458100084,0.015821093689020627,0.04008803791149155,0.014473309722590698,0.0
53,scm,0,0.0,0.4,True,0.03451805936462892,0.029195835399724243,0.03646281254540237,0.017665869167090897,0.03585435343753669,0.017677897185280074,0.03621485685929322,0.0
53,scm,1,0.2,0.4,True,0.06790522512577922,0.07145150830241513,0.07096975886104127,0.032030223036246565,0.030838618790275694,0.03098313015911875,0.028738639086207777,0.0
53,scm,2,0.4,0.4,True,0.09700780392482179,0.0725668169899625,0.12074417913936719,0.041707049381152314,0.018955738487494225,0.04193842246072205,0.01834852551560101,0.0
53,scm,3,0.6,0.4,False,0.24498908756323975,0.21938082680789342,0.24791638710708902,0.049017483094209585,0.0025261329960113,0.046866787589553004,0.0009707154773511509,0.0
59,scm,0,0.0,0.2,True,0.021973700661759958,0.019864233838712275,0.0169957402295757,0.017783825518800096,0.0462833212175639,0.016813163759046405,0.04576690014829087,0.0
59,scm,1,0.2,0.2,True,0.039106154202673285,0.037996977202080104,0.0431833097472514,0.02685708045302126,0.03174177034907579,0.02745393912457559,0.03158921907597435,0.0
59,scm,2,0.4,0.2,False,0.124249715828321,0.105339813991236,0.0759420141900718,0.03994557617627972,0.016620174622940624,0.04004789818265628,0.017394621495698766,0.0
61,scm,0,0.0,0.2,True,0.024677940832254875,0.02321774836484162,0.028679715789212516,0.020270075907688194,0.04084375525728342,0.020544363958161643,0.04098209692003439,0.0
61,scm,1,0.2,0.2,True,0.048096300700627426,0.03755652426116833,0.04069151497576836,0.027130995250723287,0.03292330158669994,0.028001659743482683,0.03223090014588759,0.0
61,scm,2,0.4,0.2,False,0.11194437956247001,0.10183513323860961,0.15534512440259174,0.04220119395273082,0.015436038678311548,0.043955621529795055,0.016936805610895025,0.0
67,scm,0,0.0,0.2,True,0.01850367433579217,0.034640317559092804,0.02173549457544722,0.018700777203385373,0.0430208177379459,0.020196591108015777,0.04320475567795423,0.0
67,scm,1,0.2,0.2,True,0.07279906961270603,0.07414224523511415,0.049385042910880785,0.027579567566875466,0.030581185080027468,0.028841399459146693,0.02900043111906609,0.0
67,scm,2,0.4,0.2,False,0.11015524882661339,0.10178327729092561,0.12443605850784109,0.04196910011761855,0.013294204174227017,0.04200691790030121,0.014601001745208338,0.0
71,scm,0,0.0,0.2,True,0.02576073562344228,0.02449623834745476,0.02878488548873424,0.01763159789032541,0.03874865162402087,0.019039467749702648,0.041453176838274104,0.0
71,scm,1,0.2,0.2,True,0.024028601197000905,0.031890927550638826,0.0491585993106035,0.029636175942150365,0.03558769102556721,0.029604709967011936,0.03645692945779925,0.0
71,scm,2,0.4,0.2,False,0.10652249404633582,0.10598658732169018,0.10675384349707273,0.04292286055556532,0.015367354732508443,0.03583228432338245,0.0131500281948437,0.0
73,scm,0,0.0,0.2,True,0.030122427924595168,0.02470184324681788,0.02920727796060569,0.021069177634015116,0.038140618229770495,0.020521407973567517,0.03724828648983164,0.0
73,scm,1,0.2,0.2,True,0.029514277895191697,0.029156938018434157,0.03559457864869335,0.030287507031902576,0.0317600114066185,0.03194467682552973,0.032351523860713535,0.0
73,scm,2,0.4,0.2,False,0.11326941080989839,0.10372735035285577,0.1251574684859914,0.03879746149484224,0.013664830098851324,0.038816178293471,0.012230993182908137,0.0
79,scm,0,0.0,0.4,True,0.019201709904286626,0.02313552114378946,0.0254801670811917,0.019247415745772153,0.046940319442885244,0.019725114753941734,0.046451450830886754,0.0
79,scm,1,0.2,0.4,True,0.06975369354079872,0.05751222208042076,0.0423592676030754,0.031669458892363146,0.027783531420908378,0.030084291265699892,0.028517653206212388,0.0
79,scm,2,0.4,0.4,True,0.09291101132739427,0.08698182049029748,0.10069111263208141,0.04215287553395743,0.02344195612560612,0.04316624811419228,0.023443423916653407,0.0
79,scm,3,0.6,0.4,False,0.2896706720229858,0.26914075591323877,0.24823186465332198,0.04662572450338323,0.0052591097374123045,0.04475758064096664,0.0021240660755336704,0.0
